Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO1722	SPO1722				736961	629125	613652
SPO1723	SPO1723				368486	288999	292456
SPO1724	SPO1724				494073	425901	489069
SPO1725	SPO1725				4.90E+06	4.81E+06	4.76E+06
SPO1727	SPO1727				4.94E+06	4.86E+06	4.94E+06
SPO1728	SPO1728				1.11E+06	1.03E+06	1.11E+06
SPO1729	SPO1729				6.43E+06	6.98E+06	6.79E+06
SPO1732	SPO1732				1.78E+06	1.78E+06	1.78E+06
SPO1733	SPO1733				2.12E+07	2.10E+07	2.17E+07
SPO1734	SPO1734				1.20E+07	1.21E+07	1.21E+07
SPO1735	SPO1735				331470	219066	232707
SPO1736	SPO1736				1.07E+06	987220	1.03E+06
SPO1737	SPO1737				1.77E+06	1.83E+06	1.85E+06
SPO1738	SPO1738				728875	805606	728651
SPO1739	SPO1739				1.17E+07	1.25E+07	1.22E+07
SPO1740	SPO1740				68586.5	64257.1	63989.3
SPO1741	SPO1741				70497.2	49386.6	54419
SPO1742	SPO1742				668028	601540	688701
SPO1743	SPO1743				2.17E+07	2.21E+07	2.52E+07
SPO1744	SPO1744				2.93E+06	3.13E+06	2.86E+06
SPO1745	SPO1745				380419	385204	390158
SPO1746	SPO1746				1.70E+06	1.62E+06	1.66E+06
SPO1747	SPO1747				1.28E+06	1.27E+06	1.42E+06
SPO1748	SPO1748				460264	407960	438854
SPO1749	SPO1749				2.16E+06	2.08E+06	2.22E+06
SPO1750	SPO1750				1.13E+07	1.15E+07	1.21E+07
SPO1751	SPO1751				3.77E+06	4.23E+06	3.90E+06
SPO1752	SPO1752				592151	557196	453263
SPO1753	SPO1753				6.91E+06	6.73E+06	6.94E+06
SPO1754	SPO1754				2.07E+06	2.07E+06	2.00E+06
SPO1755	SPO1755				1.49E+06	1.47E+06	1.39E+06
SPO1756	SPO1756				2.09E+07	2.20E+07	2.16E+07
SPO1757	SPO1757				803500	716966	739080
SPO1759	SPO1759				3.30E+06	3.71E+06	3.61E+06
SPO1760	SPO1760				55385.4	39945.6	54827
SPO1761	SPO1761				7.76E+06	7.91E+06	7.94E+06
SPO1762	SPO1762				3.97E+06	3.94E+06	3.69E+06
SPO1763	SPO1763				4.63E+06	4.84E+06	5.08E+06
SPO1764	SPO1764				1.15E+06	1.14E+06	1.16E+06
SPO1766	SPO1766				251396	217655	241604
SPO1767	SPO1767				2.57E+06	2.59E+06	2.41E+06
SPO1769	SPO1769				3.00E+06	2.83E+06	2.85E+06
SPO1770	SPO1770				4.94E+06	5.59E+06	5.81E+06
SPO1771	SPO1771				335816	358220	418401
SPO1772	SPO1772				1.50E+06	1.49E+06	1.54E+06
SPO1773	SPO1773				4.20E+06	4.57E+06	4.21E+06
SPO1774	SPO1774				361299	317939	360806
SPO1775	SPO1775				2.01E+06	2.07E+06	1.97E+06
SPO1776	SPO1776				2.11E+06	2.22E+06	2.33E+06
SPO1777	SPO1777				1.44E+06	1.44E+06	1.52E+06
SPO1778	SPO1778						
SPO1779	SPO1779				391735	349371	373251
SPO1780	SPO1780				1.59E+06	1.62E+06	1.65E+06
SPO1781	SPO1781				2.95E+06	2.98E+06	2.97E+06
SPO1782	SPO1782				230721	301874	328302
SPO1783	SPO1783				2.64E+06	2.44E+06	2.56E+06
SPO1784	SPO1784				1.87E+06	1.94E+06	1.82E+06
SPO1785	SPO1785				845252	852294	883197
SPO1786	SPO1786				657347	649146	665525
SPO1787	SPO1787				438319	302554	310223
SPO1788	SPO1788				1.00E+07	9.95E+06	1.03E+07
SPO1789	SPO1789				414922	392528	333996
SPO1790	SPO1790				1.66E+06	1.62E+06	1.62E+06
SPO1791	SPO1791				1.55E+07	1.45E+07	1.63E+07
SPO1792	SPO1792				1.53E+06	1.56E+06	1.57E+06
SPO1794	SPO1794				615542	614125	599599
SPO1795	SPO1795				3.00E+06	2.70E+06	3.22E+06
SPO1796	SPO1796				3.46E+06	3.35E+06	3.52E+06
SPO1797	SPO1797				18888.9		22670.2
SPO1798	SPO1798				842138	857834	838714
SPO1799	SPO1799				168854	170093	170213
SPO1800	SPO1800				2.01E+06	2.01E+06	2.06E+06
SPO1801	SPO1801				571056	592892	566183
SPO1802	SPO1802				8.75E+06	7.01E+06	6.98E+06
SPO1803	SPO1803				1.35E+07	1.46E+07	1.42E+07
SPO1804	SPO1804				3.12E+06	3.10E+06	3.20E+06
SPO1805	SPO1805				2.80E+06	2.57E+06	2.51E+06
SPO1806	SPO1806				2.02E+06	1.87E+06	1.74E+06
SPO1807	SPO1807				536211	508653	443156
SPO1808	SPO1808				695169	534012	542330
SPO1809	SPO1809				1.81E+06	1.73E+06	1.69E+06
SPO1810	SPO1810				1.03E+06	928315	979365
SPO1811	SPO1811				37934.1	59499.7	63823
SPO1812	SPO1812				4.55E+06	4.51E+06	4.80E+06
SPO1813	SPO1813				1.01E+07	1.03E+07	1.09E+07
SPO1814	SPO1814				7.17E+06	6.81E+06	7.60E+06
SPO1815	SPO1815				712952	670203	698934
SPO1816	SPO1816				190987	180813	200838
SPO1818	SPO1818				138918	118001	105595
SPO1820	SPO1820				79429.6	78574.7	86123.2
SPO1825	SPO1825				971636	922130	947470
SPO1826	SPO1826				585364	528650	545984
SPO1827	SPO1827				249085	237302	227586
SPO1828	SPO1828				805622	766676	782242
SPO1829	SPO1829				478166	489208	476251
SPO1830	SPO1830				1.13E+06	1.13E+06	1.17E+06
SPO1831	SPO1831				624763	628713	629643
SPO1832	SPO1832				104869	118580	114327
SPO1833	SPO1833				82424.6	69066.2	53295.8
SPO1834	SPO1834				1.46E+06	1.39E+06	1.42E+06
SPO1835	SPO1835				2.75E+06	2.82E+06	2.82E+06
SPO1836	SPO1836				532438	582282	630900
SPO1837	SPO1837				29572	42484.8	45112.3
SPO1838	SPO1838				161102	129952	151923
SPO1839	SPO1839				2.93E+06	3.16E+06	3.51E+06
SPO1840	SPO1840				381779	389470	332671
SPO1841	SPO1841				536004	484081	489002
SPO1842	SPO1842				615286	625486	620028
SPO1843	SPO1843				978858	1.02E+06	1.05E+06
SPO1844	SPO1844				738816	715110	712812
SPO1845	SPO1845				1.20E+06	1.13E+06	1.14E+06
SPO1846	SPO1846				2.88E+06	2.99E+06	3.19E+06
SPO1847	SPO1847				818302	736660	695366
SPO1848	SPO1848				202188	186785	195446
SPO1849	SPO1849				409593	351916	401616
SPO1850	SPO1850				86887	69602.3	160756
SPO1852	SPO1852				1.06E+07	1.07E+07	1.06E+07
SPO1853	SPO1853				1.02E+06	941608	972958
SPO1854	SPO1854				253778	314773	354722
SPO1855	SPO1855				1.92E+07	1.65E+07	2.13E+07
SPO1856	SPO1856				950620	907613	992663
SPO1857	SPO1857					69645	
SPO1858	SPO1858				3.04E+06	2.97E+06	2.92E+06
SPO1859	SPO1859				907717	916897	935543
SPO1860	SPO1860				6.35E+06	6.43E+06	6.41E+06
SPO1861	SPO1861				4.76E+06	4.72E+06	4.78E+06
SPO1862	SPO1862				670484	621622	636920
SPO1863	SPO1863				1.01E+07	1.05E+07	1.05E+07
SPO1865	SPO1865				3.06E+07	2.96E+07	3.04E+07
SPO1866	SPO1866				6.39E+06	6.57E+06	7.23E+06
SPO1867	SPO1867				3.14E+06	3.09E+06	3.14E+06
SPO1868	SPO1868				1.62E+07	1.81E+07	1.76E+07
SPO1869	SPO1869				8.86E+06	8.17E+06	7.82E+06
SPO1870	SPO1870				1.72E+07	1.58E+07	1.64E+07
SPO1871	SPO1871				2.96E+06	2.65E+06	2.63E+06
SPO1872	SPO1872				4.40E+06	4.24E+06	4.24E+06
SPO1873	SPO1873				1.82E+06	1.79E+06	1.89E+06
SPO1874	SPO1874				1.43E+06	1.32E+06	1.49E+06
SPO1875	SPO1875				4.90E+06	4.64E+06	4.67E+06
SPO1876	SPO1876				4.60E+06	4.56E+06	4.33E+06
SPO1877	SPO1877				5.39E+06	5.11E+06	5.52E+06
SPO1878	SPO1878						
SPO1880	SPO1880				3.45E+06	3.19E+06	2.93E+06
SPO1881	SPO1881				2.83E+06	2.75E+06	2.63E+06
SPO1882	SPO1882				1.27E+07	1.30E+07	1.27E+07
SPO1883	SPO1883				510317	459360	445290
SPO1884	SPO1884				1.44E+07	1.55E+07	1.51E+07
SPO1886	SPO1886				6.12E+06	5.42E+06	5.42E+06
SPO1887	SPO1887				8.34E+06	8.51E+06	8.53E+06
SPO1888	SPO1888				2.00E+07	2.27E+07	1.98E+07
SPO1889	SPO1889				2.95E+06	3.01E+06	3.10E+06
SPO1890	SPO1890				7.08E+06	7.31E+06	7.26E+06
SPO1891	SPO1891				3.70E+06	3.74E+06	3.82E+06
SPO1892	SPO1892				4.30E+07	4.31E+07	4.30E+07
SPO1893	SPO1893				1.52E+07	1.52E+07	1.54E+07
SPO1895	SPO1895				2.24E+06	2.52E+06	2.14E+06
SPO1896	SPO1896				2.21E+06	2.13E+06	2.01E+06
SPO1897	SPO1897				1.35E+06	1.33E+06	1.32E+06
SPO1898	SPO1898				766748	718597	734537
SPO1899	SPO1899				1.74E+07	1.83E+07	1.96E+07
SPO1900	SPO1900				5.28E+06	5.31E+06	5.48E+06
SPO1901	SPO1901				1.11E+06	1.16E+06	1.12E+06
SPO1902	SPO1902				1.43E+06	1.37E+06	1.54E+06
SPO1903	SPO1903				365292	336487	340006
SPO1904	SPO1904				21028	28051.9	21912.6
SPO1905	SPO1905				2.04E+06	2.07E+06	2.21E+06
SPO1906	SPO1906				2.82E+06	2.85E+06	2.86E+06
SPO1907	SPO1907				2.60E+06	2.44E+06	2.49E+06
SPO1908	SPO1908				121851	86250.4	96388.5
SPO1909	SPO1909				57347.4	52501.6	59286
SPO1911	SPO1911					2076.52	
SPO1912	SPO1912				538175	466192	523360
SPO1913	SPO1913				1.46E+06	1.44E+06	1.44E+06
SPO1914	SPO1914				5.64E+06	5.71E+06	6.15E+06
SPO1915	SPO1915				405225	382537	371776
SPO1916	SPO1916				1.31E+07	1.34E+07	1.32E+07
SPO1917	SPO1917				389264	360652	316424
SPO1918	SPO1918				1.61E+06	1.58E+06	1.53E+06
SPO1920	SPO1920				7.99E+06	7.34E+06	7.66E+06
SPO1921	SPO1921				1.31E+07	1.38E+07	1.42E+07
SPO1922	SPO1922				1.74E+06	1.63E+06	1.45E+06
SPO1923	SPO1923				3.75E+06	3.81E+06	3.81E+06
SPO1925	SPO1925				4.22E+06	3.81E+06	3.86E+06
SPO1926	SPO1926				2.56E+06	2.43E+06	2.45E+06
SPO1927	SPO1927				161306	165312	167808
SPO1928	SPO1928				877277	890264	894257
SPO1929	SPO1929				4.33E+06	4.43E+06	4.62E+06
SPO1930	SPO1930				8.00E+06	8.45E+06	8.56E+06
SPO1932	SPO1932				6.44E+06	6.36E+06	6.46E+06
SPO1933	SPO1933				6.24E+06	6.84E+06	7.56E+06
SPO1934	SPO1934				5.13E+06	4.89E+06	5.21E+06
SPO1935	SPO1935				755817	627245	713750
SPO1936	SPO1936				792068	709304	716208
SPO1937	SPO1937				2.52E+06	2.69E+06	2.84E+06
SPO1938	SPO1938				1.28E+06	1.21E+06	1.30E+06
SPO1939	SPO1939				2.62E+07	2.65E+07	3.29E+07
SPO1940	SPO1940				574362	548004	539157
SPO1941	SPO1941				2.21E+06	2.51E+06	2.39E+06
SPO1942	SPO1942				1.66E+07	1.63E+07	1.66E+07
SPO1943	SPO1943				275088	268027	285339
SPO1944	SPO1944				2.88E+06	2.76E+06	2.99E+06
SPO1945	SPO1945				3.61E+06	4.00E+06	3.45E+06
SPO1946	SPO1946				6.70E+06	7.16E+06	6.98E+06
SPO1947	SPO1947				1.56E+06	1.51E+06	1.49E+06
SPO1948	SPO1948				1.40E+06	1.54E+06	1.75E+06
SPO1949	SPO1949				1.60E+06	1.38E+06	1.61E+06
SPO1950	SPO1950				1.08E+06	1.09E+06	1.15E+06
SPO1951	SPO1951				2.02E+06	1.85E+06	1.99E+06
SPO1952	SPO1952				3.28E+06	2.93E+06	3.29E+06
SPO1953	SPO1953				1.49E+06	1.43E+06	1.39E+06
SPO1954	SPO1954				445266	470131	451866
SPO1955	SPO1955				2.37E+06	2.57E+06	2.40E+06
SPO1956	SPO1956				58795.3	43349.4	59243.7
SPO1957	SPO1957				2.67E+06	2.81E+06	2.82E+06
SPO1958	SPO1958				751819	731201	710307
SPO1959	SPO1959				1.59E+06	1.53E+06	1.61E+06
SPO1960	SPO1960				1.70E+06	1.58E+06	1.51E+06
SPO1961	SPO1961				498926	424443	441722
SPO1962	SPO1962				2.39E+06	2.35E+06	2.38E+06
SPO1963	SPO1963				967200	922378	935135
SPO1964	SPO1964				2.45E+06	2.45E+06	2.42E+06
SPO1965	SPO1965				7.41E+06	6.74E+06	7.05E+06
SPO1966	SPO1966				2.61E+06	2.52E+06	2.53E+06
SPO1967	SPO1967				1.61E+06	1.62E+06	1.53E+06
SPO1968	SPO1968				1.08E+06	972998	1.03E+06
SPO1969	SPO1969				1.81E+06	1.86E+06	1.96E+06
SPO1970	SPO1970				3.15E+06	3.16E+06	3.05E+06
SPO1971	SPO1971				2.28E+06	2.46E+06	2.50E+06
SPO1972	SPO1972				2.75E+06	2.64E+06	2.57E+06
SPO1973	SPO1973				1.00E+06	1.09E+06	972020
SPO1974	SPO1974				640923	578781	537758
SPO1975	SPO1975				9.10E+07	9.79E+07	1.02E+08
SPO1976	SPO1976				1.28E+08	1.34E+08	1.34E+08
SPO1977	SPO1977				1.37E+06	1.32E+06	1.43E+06
SPO1978	SPO1978				2.07E+06	2.07E+06	2.03E+06
SPO1979	SPO1979				1.51E+06	1.44E+06	1.42E+06
SPO1980	SPO1980				2.60E+06	2.46E+06	2.43E+06
SPO1982	SPO1982				471725	559789	687573
SPO1983	SPO1983				3.80E+06	3.89E+06	3.87E+06
SPO1984	SPO1984				1.02E+07	9.91E+06	9.89E+06
SPO1985	SPO1985				2.25E+06	2.21E+06	2.38E+06
SPO1986	SPO1986				4.53E+06	4.62E+06	4.99E+06
SPO1987	SPO1987				4.97E+06	5.37E+06	5.29E+06
SPO1988	SPO1988				320415	340764	284821
SPO1989	SPO1989				7.89E+07	9.04E+07	8.51E+07
SPO1990	SPO1990				8.61E+07	9.38E+07	9.28E+07
SPO1991	SPO1991				604337	596799	600510
SPO1992	SPO1992				1.83E+06	1.90E+06	2.03E+06
SPO1994	SPO1994				1.18E+06	1.14E+06	1.27E+06
SPO1995	SPO1995				639679	718528	728481
SPO1996	SPO1996				1.18E+07	1.16E+07	1.17E+07
SPO1997	SPO1997				403658	390127	419512
SPO1998	SPO1998				445160	386766	418651
SPO2000	SPO2000				4.51E+06	4.49E+06	4.19E+06
SPO2001	SPO2001				158198	155380	184688
SPO2002	SPO2002				277909	249913	245914
SPO2003	SPO2003				143365	168800	165079
SPO2004	SPO2004				159397	144442	140580
SPO2005	SPO2005				231938	227029	217674
SPO2006	SPO2006				70013.3	104076	125627
SPO2007	SPO2007				1.48E+06	1.55E+06	1.44E+06
SPO2009	SPO2009						
SPO2010	SPO2010				634524	613033	601920
SPO2013	SPO2013				197580	172044	150362
SPO2014	SPO2014				5.50E+06	5.24E+06	5.45E+06
SPO2015	SPO2015				1.98E+06	2.13E+06	2.33E+06
SPO2016	SPO2016				2.30E+06	2.57E+06	2.65E+06
SPO2017	SPO2017				1.51E+07	1.54E+07	1.53E+07
SPO2018	SPO2018				1.53E+07	1.55E+07	1.57E+07
SPO2019	SPO2019				2.02E+06	2.07E+06	2.09E+06
SPO2020	SPO2020				3.59E+06	3.63E+06	3.42E+06
SPO2021	SPO2021				6.28E+06	6.79E+06	6.99E+06
SPO2022	SPO2022				1.26E+06	1.27E+06	1.28E+06
SPO2023	SPO2023				9.56E+06	9.46E+06	1.04E+07
SPO2024	SPO2024				3.90E+06	3.85E+06	3.79E+06
SPO2025	SPO2025				2.59E+06	2.42E+06	2.33E+06
SPO2026	SPO2026				1.81E+07	1.86E+07	1.81E+07
SPO2027	SPO2027				1.27E+06	740222	843237
SPO2028	SPO2028				1.03E+06	933024	968298
SPO2029	SPO2029				8.56E+06	7.95E+06	8.39E+06
SPO2031	SPO2031				5.86E+06	5.62E+06	5.51E+06
SPO2032	SPO2032				1.42E+07	1.40E+07	1.27E+07
SPO2033	SPO2033				1.38E+07	1.39E+07	1.42E+07
SPO2034	SPO2034				1.22E+07	1.24E+07	1.24E+07
SPO2035	SPO2035				2.91E+06	2.86E+06	2.75E+06
SPO2036	SPO2036				725460	714955	727665
SPO2037	SPO2037				2.08E+06	2.03E+06	2.01E+06
SPO2038	SPO2038				3.32E+06	3.26E+06	3.28E+06
SPO2039	SPO2039				1.55E+07	1.58E+07	1.61E+07
SPO2040	SPO2040				1.98E+06	1.70E+06	1.44E+06
SPO2041	SPO2041				3.36E+06	3.30E+06	3.41E+06
SPO2042	SPO2042				609066	705924	747939
SPO2044	SPO2044				2.35E+06	2.67E+06	2.67E+06
SPO2045	SPO2045				8.43E+06	8.19E+06	8.23E+06
SPO2046	SPO2046				1.02E+07	1.01E+07	1.01E+07
SPO2047	SPO2047				8.91E+06	9.40E+06	8.46E+06
SPO2048	SPO2048				7.77E+06	7.65E+06	7.84E+06
SPO2049	SPO2049				615406	509538	498259
SPO2050	SPO2050				93341.8	83588.3	90130.4
SPO2051	SPO2051				1.05E+07	1.04E+07	1.07E+07
SPO2052	SPO2052				95633.6		244143
SPO2053	SPO2053				5.43E+06	5.60E+06	5.87E+06
SPO2054	SPO2054				7.26E+06	6.74E+06	7.48E+06
SPO2055	SPO2055				3.33E+06	3.11E+06	3.27E+06
SPO2056	SPO2056				9.80E+06	1.02E+07	1.08E+07
SPO2057	SPO2057				1.54E+06	1.50E+06	1.39E+06
SPO2058	SPO2058				796993	755951	687743
SPO2059	SPO2059				4.11E+06	3.88E+06	3.96E+06
SPO2060	SPO2060				3.99E+06	4.05E+06	4.08E+06
SPO2061	SPO2061				3.70E+06	3.81E+06	3.61E+06
SPO2062	SPO2062				1.99E+06	1.69E+06	1.62E+06
SPO2063	SPO2063				661165	646071	637632
SPO2064	SPO2064				3.82E+06	3.79E+06	3.93E+06
SPO2065	SPO2065				4.38E+07	4.63E+07	4.44E+07
SPO2066	SPO2066				1.94E+06	1.81E+06	1.89E+06
SPO2067	SPO2067					46207.6	37607.4
SPO2068	SPO2068				1.87E+06	1.94E+06	1.89E+06
SPO2069	SPO2069				2.46E+06	2.30E+06	2.42E+06
SPO2070	SPO2070				3.72E+06	3.67E+06	3.92E+06
SPO2071	SPO2071				1.00E+06	1.03E+06	1.03E+06
SPO2072	SPO2072				2.58E+06	2.48E+06	2.45E+06
SPO2073	SPO2073				1.38E+06	1.43E+06	1.55E+06
SPO2074	SPO2074				4.23E+06	4.17E+06	4.29E+06
SPO2075	SPO2075				1.69E+06	1.49E+06	1.62E+06
SPO2076	SPO2076				5.55E+06	5.40E+06	5.44E+06
SPO2077	SPO2077				9.28E+07	9.25E+07	8.95E+07
SPO2078	SPO2078				3.68E+06	3.68E+06	3.73E+06
SPO2079	SPO2079				60846.6	60693.8	55639.9
SPO2080	SPO2080				3.57E+06	3.29E+06	3.30E+06
SPO2081	SPO2081				1.47E+07	1.26E+07	1.29E+07
SPO2082	SPO2082				893471	792267	831402
SPO2083	SPO2083				2.66E+06	2.82E+06	2.90E+06
SPO2084	SPO2084				1.48E+06	1.64E+06	1.51E+06
SPO2085	SPO2085				6.47E+06	6.60E+06	6.87E+06
SPO2086	SPO2086				1.00E+06	1.02E+06	1.07E+06
SPO2087	SPO2087				1.67E+06	1.82E+06	1.70E+06
SPO2088	SPO2088				449702	407635	413345
SPO2089	SPO2089				623935	606287	594403
SPO2090	SPO2090				4.54E+06	4.56E+06	4.47E+06
SPO2091	SPO2091				370991	368308	294619
SPO2092	SPO2092				2.80E+06	3.09E+06	3.04E+06
SPO2093	SPO2093				36307.6		
SPO2094	SPO2094				1.23E+06	1.26E+06	1.25E+06
SPO2095	SPO2095				5.17E+06	5.25E+06	5.17E+06
SPO2096	SPO2096				1.78E+06	1.66E+06	1.79E+06
SPO2097	SPO2097				4.32E+06	3.90E+06	4.23E+06
SPO2098	SPO2098				566029	573074	559686
SPO2099	SPO2099				684244	730809	787051
SPO2100	SPO2100				1.36E+06	1.16E+06	1.29E+06
SPO2101	SPO2101				3.42E+06	3.63E+06	3.61E+06
SPO2102	SPO2102				1.09E+07	1.08E+07	1.09E+07
SPO2103	SPO2103				5.97E+06	6.00E+06	6.44E+06
SPO2104	SPO2104				421846	406142	302118
SPO2105	SPO2105				783026	780238	824417
SPO2106	SPO2106				43767.9	40699.4	32475.3
SPO2107	SPO2107						7508.39
SPO2108	SPO2108				813540	749488	792419
SPO2109	SPO2109				8.04E+06	7.57E+06	8.23E+06
SPO2110	SPO2110				318711	319092	227653
SPO2111	SPO2111						3909.17
SPO2113	SPO2113				2.41E+06	2.17E+06	2.09E+06
SPO2116	SPO2116				2.20E+06	2.05E+06	2.29E+06
SPO2117	SPO2117				7.57E+06	7.99E+06	7.97E+06
SPO2118	SPO2118				656747	764818	752647
SPO2119	SPO2119				345874	395288	340838
SPO2120	SPO2120				138090	113416	116259
SPO2121	SPO2121				1.03E+06	978323	1.02E+06
SPO2122	SPO2122				593777	490503	634979
SPO2123	SPO2123				241494	225997	206151
SPO2124	SPO2124				1.38E+06	1.29E+06	1.32E+06
SPO2125	SPO2125				739877	668328	706534
SPO2126	SPO2126				5.10E+06	4.91E+06	5.35E+06
SPO2127	SPO2127				413122	424990	374972
SPO2128	SPO2128				247832	224682	223052
SPO2129	SPO2129				1.18E+06	1.21E+06	1.19E+06
SPO2130	SPO2130				3.07E+06	2.95E+06	3.09E+06
SPO2131	SPO2131				3.63E+06	3.54E+06	3.61E+06
SPO2132	SPO2132				603318	560570	528344
SPO2133	SPO2133				9.46E+07	1.02E+08	1.07E+08
SPO2134	SPO2134				375319	313283	384130
SPO2135	SPO2135				51883.1	92178.1	114086
SPO2136	SPO2136				1.94E+06	1.90E+06	2.03E+06
SPO2137	SPO2137				851819	781720	900803
SPO2139	SPO2139				1.09E+06	1.16E+06	1.10E+06
SPO2140	SPO2140				4.96E+06	5.50E+06	5.57E+06
SPO2141	SPO2141				2.31E+06	2.43E+06	2.38E+06
SPO2142	SPO2142				2.69E+07	2.77E+07	2.84E+07
SPO2143	SPO2143				1.79E+07	1.86E+07	1.80E+07
SPO2144	SPO2144				5.68E+06	5.11E+06	5.46E+06
SPO2145	SPO2145				9.21E+06	9.30E+06	1.01E+07
SPO2146	SPO2146				5.30E+06	5.58E+06	5.46E+06
SPO2147	SPO2147				472449	576704	589352
SPO2148	SPO2148				9.64E+06	1.09E+07	1.11E+07
SPO2149	SPO2149				4.55E+06	4.39E+06	4.59E+06
SPO2150	SPO2150				5.90E+06	6.44E+06	6.49E+06
SPO2151	SPO2151				1.78E+07	1.85E+07	1.92E+07
SPO2152	SPO2152				7.10E+06	6.81E+06	7.13E+06
SPO2153	SPO2153				3.66E+06	3.64E+06	3.80E+06
SPO2154	SPO2154				3.77E+06	3.92E+06	3.75E+06
SPO2155	SPO2155				105338	102162	80024.7
SPO2156	SPO2156				8.86E+06	8.10E+06	8.51E+06
SPO2157	SPO2157				9.91E+07	9.45E+07	9.55E+07
SPO2158	SPO2158				24090.5	23657.5	19422.8
SPO2159	SPO2159				347109	246060	318373
SPO2160	SPO2160				5.94E+06	6.09E+06	6.44E+06
SPO2161	SPO2161				3.12E+06	3.02E+06	3.00E+06
SPO2162	SPO2162				1.67E+06	1.48E+06	1.47E+06
SPO2163	SPO2163				139920	98885.2	116832
SPO2164	SPO2164				129698	133331	131434
SPO2165	SPO2165				3.61E+06	3.54E+06	3.70E+06
SPO2166	SPO2166				5.97E+06	6.09E+06	5.57E+06
SPO2167	SPO2167				6.09E+06	6.43E+06	6.59E+06
SPO2168	SPO2168				4.78E+06	4.85E+06	4.70E+06
SPO2169	SPO2169				6.94E+06	7.26E+06	7.37E+06
SPO2170	SPO2170				463135	405890	395353
SPO2171	SPO2171				735657	717033	782450
SPO2173	SPO2173				1.33E+06	1.25E+06	1.25E+06
SPO2174	SPO2174				2.24E+06	2.30E+06	2.20E+06
SPO2176	SPO2176				230425	242396	214648
SPO2177	SPO2177				565032	555638	545004
SPO2178	SPO2178				535655	442214	405162
SPO2180	SPO2180				1.06E+06	1.12E+06	1.03E+06
SPO2181	SPO2181				694242	625858	594670
SPO2182	SPO2182				142792	147797	130369
SPO2183	SPO2183				481696	435118	372125
SPO2184	SPO2184				2.37E+06	2.24E+06	2.34E+06
SPO2185	SPO2185				8.21E+06	7.97E+06	7.61E+06
SPO2186	SPO2186				1.74E+06	1.79E+06	2.05E+06
SPO2187	SPO2187				8.28E+07	8.42E+07	9.30E+07
SPO2188	SPO2188				134404	126989	94584.7
SPO2189	SPO2189				721033	635660	676556
SPO2190	SPO2190				773313	685466	677222
SPO2191	SPO2191				523266	550967	552898
SPO2192	SPO2192				1.00E+06	971317	1.08E+06
SPO2192a	SPO2192a				422554	398457	421004
SPO2193	SPO2193				2.05E+06	1.89E+06	1.99E+06
SPO2194	SPO2194				834228	848069	831106
SPO2195	SPO2195				1.17E+06	1.16E+06	1.09E+06
SPO2196	SPO2196				4.71E+06	4.56E+06	4.51E+06
SPO2197	SPO2197				4.21E+06	3.85E+06	4.10E+06
SPO2198	SPO2198				1.54E+06	1.59E+06	1.65E+06
SPO2200	SPO2200				4.21E+06	3.62E+06	3.65E+06
SPO2201	SPO2201				1.81E+07	1.87E+07	1.87E+07
SPO2202	SPO2202				2.12E+06	2.11E+06	2.07E+06
SPO2203	SPO2203				6.68E+06	6.69E+06	6.94E+06
SPO2205	SPO2205				2.99E+06	3.02E+06	3.15E+06
SPO2206	SPO2206				675851	601752	656474
SPO2208	SPO2208				2.70E+06	3.04E+06	2.81E+06
SPO2209	SPO2209				3.25E+06	3.14E+06	3.11E+06
SPO2210	SPO2210				1.01E+07	9.87E+06	1.04E+07
SPO2211	SPO2211				656060	733483	732794
SPO2212	SPO2212				393353	380797	386057
SPO2213	SPO2213				4.94E+06	5.33E+06	5.67E+06
SPO2213a	SPO2213a				7.26E+06	7.00E+06	6.65E+06
SPO2214	SPO2214				701750	668561	678081
SPO2215	SPO2215				186995	142026	113873
SPO2216	SPO2216				239985	158630	231913
SPO2218	SPO2218				5.93E+06	5.82E+06	5.92E+06
SPO2219	SPO2219				174324	158810	183259
SPO2220	SPO2220				234081	230005	226647
SPO2221	SPO2221				8.58E+06	8.42E+06	9.39E+06
SPO2222	SPO2222				1.89E+07	1.89E+07	1.97E+07
SPO2223	SPO2223				3.64E+06	3.48E+06	3.52E+06
SPO2224	SPO2224				1.16E+07	1.17E+07	1.21E+07
SPO2226	SPO2226				2.55E+06	2.47E+06	2.50E+06
SPO2227	SPO2227				1.10E+06	1.09E+06	1.13E+06
SPO2228	SPO2228				1.11E+07	1.20E+07	1.21E+07
SPO2229	SPO2229				2.04E+06	1.99E+06	2.01E+06
SPO2230	SPO2230				3.59E+06	3.47E+06	3.37E+06
SPO2231	SPO2231				4.03E+07	3.69E+07	4.17E+07
SPO2232	SPO2232				309937	324551	322958
SPO2233	SPO2233				1.92E+07	2.05E+07	2.12E+07
SPO2234	SPO2234				4.11E+07	4.74E+07	4.68E+07
SPO2235	SPO2235				9.87E+06	9.51E+06	9.48E+06
SPO2237	SPO2237				87378.2	33199.5	26258.2
SPO2238	SPO2238				836000	870870	893750
SPO2239	SPO2239				981285	901064	958032
SPO2240	SPO2240				1.88E+07	1.84E+07	1.87E+07
SPO2241	SPO2241				2.69E+07	2.89E+07	3.10E+07
