Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO3418	SPO3418				2.40E+06	2.48E+06	2.59E+06
SPO3419	SPO3419				3.21E+06	3.35E+06	3.27E+06
SPO3420	SPO3420				1.09E+06	1.16E+06	1.23E+06
SPO3421	SPO3421				239963	266818	360571
SPO3422	SPO3422				1.70E+06	1.73E+06	1.74E+06
SPO3423	SPO3423				1.17E+07	1.62E+07	1.58E+07
SPO3424	SPO3424				385885	452836	450175
SPO3425	SPO3425				8.77E+06	8.94E+06	9.15E+06
SPO3426	SPO3426				6.85E+06	6.18E+06	7.38E+06
SPO3427	SPO3427				2.30E+06	2.15E+06	2.08E+06
SPO3428	SPO3428				1.34E+06	1.11E+06	1.04E+06
SPO3429	SPO3429				3.79E+06	3.65E+06	3.84E+06
SPO3430	SPO3430				5.66E+08	4.64E+08	4.77E+08
SPO3431	SPO3431				3.52E+07	2.74E+07	2.74E+07
SPO3432	SPO3432				1.08E+07	1.22E+07	1.25E+07
SPO3433	SPO3433				1.81E+06	3.42E+06	3.33E+06
SPO3434	SPO3434				2.92E+06	2.94E+06	2.99E+06
SPO3435	SPO3435				1.03E+07	9.88E+06	1.07E+07
SPO3436	SPO3436				1.20E+06	1.26E+06	1.28E+06
SPO3437	SPO3437				2.35E+06	3.25E+06	3.43E+06
SPO3438	SPO3438				562817	411695	429785
SPO3439	SPO3439				1.37E+06	1.60E+06	1.56E+06
SPO3440	SPO3440				2.87E+06	2.93E+06	2.83E+06
SPO3441	SPO3441				2.84E+06	4.07E+06	4.16E+06
SPO3442	SPO3442				5.81E+06	5.17E+06	5.37E+06
SPO3443	SPO3443				802699	954651	966545
SPO3444	SPO3444				770982	902412	828470
SPO3445	SPO3445				1.89E+06	1.60E+06	1.54E+06
SPO3446	SPO3446				1.68E+07	1.99E+07	2.08E+07
SPO3447	SPO3447				1.18E+06	1.20E+06	1.20E+06
SPO3448	SPO3448				407698	394778	434797
SPO3449	SPO3449				1.51E+06	1.33E+06	1.39E+06
SPO3450	SPO3450				1.47E+06	1.89E+06	1.98E+06
SPO3451	SPO3451				2.06E+06	1.78E+06	1.95E+06
SPO3452	SPO3452				1.05E+06	975060	1.04E+06
SPO3452a	SPO3452a				150689	117299	106504
SPO3453	SPO3453				721438	814619	927319
SPO3454	SPO3454				1.75E+06	1.86E+06	1.67E+06
SPO3455	SPO3455				1.86E+06	2.17E+06	2.35E+06
SPO3456	SPO3456				102588	79888.7	80565.5
SPO3458	SPO3458				151697	90078.9	86046.7
SPO3459	SPO3459				5.26E+06	5.32E+06	4.57E+06
SPO3460	SPO3460				392617	387077	403535
SPO3462	SPO3462				92951.1	60782.8	96472.4
SPO3463	SPO3463				80065.4	163799	172258
SPO3464	SPO3464				928223	938449	991251
SPO3465	SPO3465				489879	577459	679393
SPO3466	SPO3466					48685.7	42534.4
SPO3467	SPO3467				97552.8	256846	324706
SPO3468	SPO3468				3.33E+06	3.47E+06	3.53E+06
SPO3469	SPO3469				5.60E+06	8.66E+06	8.46E+06
SPO3470	SPO3470				2.11E+06	2.39E+06	2.07E+06
SPO3471	SPO3471				3.93E+06	4.29E+06	4.13E+06
SPO3472	SPO3472				1.96E+07	1.82E+07	1.77E+07
SPO3473	SPO3473				2.90E+07	4.41E+07	4.48E+07
SPO3474	SPO3474				7.42E+06	9.92E+06	9.22E+06
SPO3475	SPO3475				1.15E+06	2.47E+06	2.28E+06
SPO3476	SPO3476				541345	745339	781269
SPO3477	SPO3477				477014	464483	452959
SPO3478	SPO3478				4.38E+06	5.40E+06	5.37E+06
SPO3479	SPO3479				1.50E+06	1.37E+06	1.36E+06
SPO3480	SPO3480				1.03E+06	1.05E+06	1.04E+06
SPO3481	SPO3481				1.38E+06	1.58E+06	1.86E+06
SPO3482	SPO3482				199583	228481	215772
SPO3483	SPO3483				324865	918940	
SPO3484	SPO3484				906101	631974	648388
SPO3485	SPO3485				577824	544311	620456
SPO3486	SPO3486				622317	484173	548019
SPO3487	SPO3487				282033	224806	215590
SPO3488	SPO3488				3.59E+06	3.80E+06	3.69E+06
SPO3489	SPO3489				1.37E+07	1.39E+07	1.42E+07
SPO3490	SPO3490				344952	264330	272351
SPO3491	SPO3491				2.00E+06	1.83E+06	1.83E+06
SPO3492	SPO3492				6.64E+06	9.27E+06	9.42E+06
SPO3494	SPO3494				2.74E+06	2.92E+06	2.99E+06
SPO3495	SPO3495				403174	954941	995525
SPO3496	SPO3496				1.12E+07	1.35E+07	1.49E+07
SPO3498a	SPO3498a				6.06E+06	6.69E+06	6.45E+06
SPO3499	SPO3499				6.05E+07	6.51E+07	6.54E+07
SPO3500	SPO3500				9.97E+07	7.17E+07	7.13E+07
SPO3501	SPO3501				1.34E+08	9.72E+07	9.97E+07
SPO3502	SPO3502				5.15E+06	6.12E+06	6.06E+06
SPO3503	SPO3503				2.60E+06	3.01E+06	2.91E+06
SPO3505	SPO3505				151038	165727	160897
SPO3506	SPO3506				183746	224518	195953
SPO3507	SPO3507				3.64E+07	3.45E+07	3.46E+07
SPO3508	SPO3508				3.27E+07	3.01E+07	2.86E+07
SPO3509	SPO3509				9.56E+07	1.77E+08	1.72E+08
SPO3510	SPO3510				1.60E+07	1.75E+07	1.82E+07
SPO3511	SPO3511				1.13E+06	1.02E+06	1.04E+06
SPO3512	SPO3512				2.07E+06	2.06E+06	2.14E+06
SPO3513	SPO3513				7.98E+07	6.38E+07	6.09E+07
SPO3514	SPO3514				6.57E+07	4.03E+07	3.95E+07
SPO3516	SPO3516				2.45E+07	2.29E+07	2.21E+07
SPO3517	SPO3517				3.07E+06	2.73E+06	2.48E+06
SPO3518	SPO3518				1.79E+06	1.37E+06	1.40E+06
SPO3520	SPO3520				1.83E+06	1.87E+06	1.90E+06
SPO3521	SPO3521				1.24E+06	2.26E+06	2.16E+06
SPO3522	SPO3522				3.62E+06	3.64E+06	3.56E+06
SPO3523	SPO3523				8.58E+06	9.96E+06	9.51E+06
SPO3524	SPO3524				423929	791126	613740
SPO3525	SPO3525				5.05E+06	5.91E+06	5.04E+06
SPO3526	SPO3526				792974	1.71E+06	1.49E+06
SPO3527	SPO3527				2.22E+07	1.80E+07	1.69E+07
SPO3529	SPO3529				1.41E+06	1.23E+06	1.33E+06
SPO3530	SPO3530				932890	649170	832630
SPO3531	SPO3531				5.53E+06	4.31E+06	4.81E+06
SPO3532	SPO3532				1.76E+06	2.44E+06	2.19E+06
SPO3533	SPO3533				3.82E+06	3.15E+06	3.17E+06
SPO3534	SPO3534				2.76E+06	2.66E+06	2.62E+06
SPO3535	SPO3535				3.17E+06	3.94E+06	4.14E+06
SPO3536	SPO3536				651705	1.26E+06	1.26E+06
SPO3537	SPO3537				7.07E+06	6.44E+06	6.44E+06
SPO3538	SPO3538				3.78E+06	4.73E+06	5.06E+06
SPO3539	SPO3539				3.75E+06	4.16E+06	4.27E+06
SPO3540	SPO3540				1.00E+07	5.14E+06	4.82E+06
SPO3541	SPO3541				3.26E+06	3.24E+06	3.16E+06
SPO3542	SPO3542				6.99E+06	7.04E+06	7.03E+06
SPO3543	SPO3543				86420.3	138050	
SPO3544	SPO3544				265699	152681	189832
SPO3545	SPO3545				848760	803516	737634
SPO3546	SPO3546				1.71E+06	1.87E+06	1.91E+06
SPO3547	SPO3547				900344	563714	729329
SPO3548	SPO3548				2.24E+06	1.71E+06	1.75E+06
SPO3550	SPO3550				4.78E+06	5.51E+06	5.37E+06
SPO3551	SPO3551				1.03E+06	1.19E+06	1.15E+06
SPO3552	SPO3552				1.44E+06	1.24E+06	1.27E+06
SPO3553	SPO3553				1.26E+06	1.39E+06	1.32E+06
SPO3554	SPO3554				272566	381135	400786
SPO3555	SPO3555				4.27E+06	4.02E+06	3.80E+06
SPO3556	SPO3556				9.15E+06	9.50E+06	9.94E+06
SPO3557	SPO3557				611131	553639	648589
SPO3558	SPO3558				294135	448678	411313
SPO3559	SPO3559				1.24E+06	1.12E+06	1.14E+06
SPO3560	SPO3560						
SPO3561	SPO3561				1.14E+06	1.08E+06	1.09E+06
SPO3562	SPO3562				512987	516774	504684
SPO3563	SPO3563				144509	168048	137109
SPO3564	SPO3564						42808.8
SPO3565	SPO3565				1.60E+06	1.96E+06	1.74E+06
SPO3566	SPO3566				1.94E+07	2.00E+07	2.06E+07
SPO3567	SPO3567				3.94E+06	2.97E+06	2.78E+06
SPO3568	SPO3568				4.25E+06	4.84E+06	4.89E+06
SPO3569	SPO3569				1.05E+06	831170	838980
SPO3570	SPO3570				9.85E+06	8.05E+06	7.05E+06
SPO3571	SPO3571				1.48E+06	1.36E+06	1.44E+06
SPO3572	SPO3572				115528	127578	98358.7
SPO3573	SPO3573				1.16E+07	1.36E+07	1.33E+07
SPO3574	SPO3574				1.36E+06	931450	1.11E+06
SPO3575	SPO3575				170344	143311	132326
SPO3576	SPO3576				2.20E+07	2.28E+07	2.55E+07
SPO3577	SPO3577				108112	110535	92517.5
SPO3578	SPO3578				1.59E+06	1.40E+06	1.42E+06
SPO3579	SPO3579				461453	395341	369150
SPO3580	SPO3580				1.29E+06	1.20E+06	1.24E+06
SPO3581	SPO3581				5.77E+06	4.82E+06	4.76E+06
SPO3582	SPO3582				7.40E+06	9.46E+06	9.25E+06
SPO3583	SPO3583				324168	370123	388875
SPO3584	SPO3584				164544	181789	238096
SPO3585	SPO3585				3.45E+06	4.02E+06	3.78E+06
SPO3586	SPO3586				1.42E+07	1.40E+07	1.44E+07
SPO3587	SPO3587				1.19E+06	1.73E+06	1.36E+06
SPO3590	SPO3590						
SPO3591	SPO3591					66596.5	87127.8
SPO3592	SPO3592				1.86E+06	1.47E+06	1.50E+06
SPO3593	SPO3593				5.96E+06	5.84E+06	5.98E+06
SPO3594	SPO3594				8.39E+06	1.01E+07	1.01E+07
SPO3595	SPO3595				93341.2	89739.3	102353
SPO3596	SPO3596				1.06E+06	961858	967429
SPO3597	SPO3597				759749	754588	781727
SPO3598	SPO3598				6.10E+07	5.74E+07	5.19E+07
SPO3599	SPO3599				1.61E+08	2.38E+07	2.00E+07
SPO3600	SPO3600				1.92E+07	1.65E+07	1.61E+07
SPO3601	SPO3601				2.53E+06	2.55E+06	2.44E+06
SPO3602	SPO3602				921591	1.72E+06	1.51E+06
SPO3603	SPO3603				1.33E+06	772804	1.05E+06
SPO3604	SPO3604				3.84E+07	3.88E+07	3.87E+07
SPO3605	SPO3605				2.83E+06	2.45E+06	2.40E+06
SPO3606	SPO3606				1.01E+07	8.43E+06	8.84E+06
SPO3607	SPO3607				3.87E+07	3.76E+07	3.78E+07
SPO3608	SPO3608				8.29E+06	8.65E+06	8.69E+06
SPO3609	SPO3609				533073	522772	547744
SPO3610	SPO3610				1.55E+06	1.57E+06	1.50E+06
SPO3611	SPO3611				1.60E+07	1.43E+07	1.38E+07
SPO3612	SPO3612				558462	497570	533040
SPO3615	SPO3615				3.70E+06	3.32E+06	3.39E+06
SPO3616	SPO3616				1.80E+07	1.49E+07	1.47E+07
SPO3617	SPO3617				3.59E+07	3.31E+07	3.26E+07
SPO3618	SPO3618				237735	314873	240492
SPO3619	SPO3619				665634	686021	727618
SPO3620	SPO3620				8.15E+06	8.03E+06	7.55E+06
SPO3621	SPO3621				1.46E+06	1.66E+06	1.58E+06
SPO3622	SPO3622				499073	532411	482432
SPO3623	SPO3623				1.70E+07	1.84E+07	2.07E+07
SPO3625	SPO3625				1.09E+07	1.03E+07	1.03E+07
SPO3626	SPO3626				9.32E+06	8.68E+06	9.29E+06
SPO3627	SPO3627				1.86E+06	2.00E+06	2.03E+06
SPO3628	SPO3628				2.03E+06	1.87E+06	1.98E+06
SPO3629	SPO3629				4.90E+06	3.60E+06	3.64E+06
SPO3630	SPO3630				355689	459580	528235
SPO3631	SPO3631				3.34E+06	4.26E+06	4.32E+06
SPO3632	SPO3632				937947	1.65E+06	1.50E+06
SPO3633	SPO3633				2.21E+06	2.70E+06	2.92E+06
SPO3634	SPO3634				459164	845238	900395
SPO3635	SPO3635				259761	555958	585147
SPO3636	SPO3636				822044	808318	852489
SPO3637	SPO3637				1.25E+06	1.12E+06	1.10E+06
SPO3638	SPO3638				2.46E+06	2.06E+06	2.09E+06
SPO3639	SPO3639				390227	698363	725533
SPO3640	SPO3640				5.61E+06	4.46E+06	4.66E+06
SPO3642	SPO3642				2.55E+06	2.73E+06	2.58E+06
SPO3644	SPO3644				1.08E+06	761832	772713
SPO3645	SPO3645				1.38E+06	1.24E+06	1.26E+06
SPO3646	SPO3646				262062	207929	226536
SPO3647	SPO3647				2.63E+06	2.23E+06	2.32E+06
SPO3648	SPO3648				3.64E+06	4.58E+06	4.56E+06
SPO3649	SPO3649				2.94E+06	3.54E+06	3.68E+06
SPO3650	SPO3650				1.26E+06	1.30E+06	1.28E+06
SPO3651	SPO3651				253711	179591	283696
SPO3652	SPO3652				6.14E+06	5.73E+06	5.60E+06
SPO3653	SPO3653				1.23E+07	1.28E+07	1.19E+07
SPO3654	SPO3654				7.67E+06	7.04E+06	6.92E+06
SPO3655	SPO3655				2.45E+06	2.02E+06	2.07E+06
SPO3656	SPO3656				999340	1.21E+06	1.29E+06
SPO3657	SPO3657				520656	810032	730902
SPO3658	SPO3658				911113	891933	945146
SPO3659	SPO3659				2.85E+06	3.49E+06	3.44E+06
SPO3660	SPO3660				1.09E+06	857174	991411
SPO3661	SPO3661				1.33E+06	1.12E+06	1.17E+06
SPO3662	SPO3662					175949	138729
SPO3663	SPO3663				838483	966018	1.12E+06
SPO3664	SPO3664				938572	1.16E+06	1.27E+06
SPO3665	SPO3665				1.31E+07	1.27E+07	1.29E+07
SPO3666	SPO3666				1.49E+06	1.32E+06	1.33E+06
SPO3667	SPO3667				133159	129046	118050
SPO3668	SPO3668				374110	103711	115356
SPO3671	SPO3671				1.49E+06	1.54E+06	1.74E+06
SPO3672	SPO3672				319889	510475	567731
SPO3673	SPO3673				2.64E+06	2.63E+06	2.45E+06
SPO3673a	SPO3673a				548218	476456	557852
SPO3675	SPO3675				565737	658591	549526
SPO3676	SPO3676				245900	293686	307672
SPO3677	SPO3677				170231	182133	197208
SPO3678	SPO3678				245585	227269	209941
SPO3679	SPO3679				1.86E+06	1.86E+06	1.85E+06
SPO3680	SPO3680				711448	1.14E+06	1.21E+06
SPO3681	SPO3681				151002	202445	207658
SPO3682	SPO3682				1.05E+06	1.02E+06	1.04E+06
SPO3684	SPO3684				1.01E+07	8.79E+06	9.09E+06
SPO3685	SPO3685				1.44E+06	1.50E+06	1.50E+06
SPO3686	SPO3686				5.73E+06	7.07E+06	7.04E+06
SPO3687	SPO3687				514535	620474	618562
SPO3688	SPO3688				805034	764675	772432
SPO3689	SPO3689				4.27E+06	4.34E+06	3.92E+06
SPO3690	SPO3690				717456	635846	702294
SPO3691	SPO3691				8.48E+06	9.88E+06	1.03E+07
SPO3692	SPO3692				1.57E+06	1.78E+06	1.75E+06
SPO3693	SPO3693				1.45E+06	2.19E+06	2.20E+06
SPO3694	SPO3694				16366.4	55046.2	36178.2
SPO3695	SPO3695				285598	353663	394224
SPO3696	SPO3696				286754	269461	248976
SPO3697	SPO3697				315648	169405	192698
SPO3698	SPO3698				339674	318272	329433
SPO3699	SPO3699						
SPO3700	SPO3700				895204	1.04E+06	990259
SPO3701	SPO3701				1.09E+06	1.32E+06	1.27E+06
SPO3703	SPO3703				1.78E+06	1.37E+06	1.43E+06
SPO3704	SPO3704				699566	882527	862042
SPO3705	SPO3705				367620	477067	478154
SPO3706	SPO3706				103231	108809	124380
SPO3707	SPO3707				120907	132876	153756
SPO3708	SPO3708				184248	165044	87062.3
SPO3709	SPO3709						
SPO3710	SPO3710				789844	809406	801319
SPO3711	SPO3711				196427	277836	303552
SPO3712	SPO3712				2.57E+07	2.40E+07	2.52E+07
SPO3713	SPO3713				8.71E+06	7.59E+06	7.61E+06
SPO3714	SPO3714				589142	490425	499036
SPO3715	SPO3715				1.07E+07	1.34E+07	1.43E+07
SPO3716	SPO3716						
SPO3717	SPO3717				1.06E+07	8.89E+06	9.19E+06
SPO3718	SPO3718				5.57E+06	4.72E+06	4.75E+06
SPO3719	SPO3719				2.35E+07	2.28E+07	2.34E+07
SPO3720	SPO3720				3.63E+07	4.74E+07	4.53E+07
SPO3722	SPO3722				275088	323340	328991
SPO3723	SPO3723					64459.7	71278.6
SPO3724	SPO3724				333262	519655	467212
SPO3725	SPO3725				2.72E+06	2.79E+06	2.73E+06
SPO3726	SPO3726				3.79E+07	3.50E+07	3.44E+07
SPO3727	SPO3727				1.12E+07	9.78E+06	1.03E+07
SPO3728	SPO3728				6.78E+06	5.57E+06	5.38E+06
SPO3729	SPO3729				5.20E+06	7.20E+06	7.15E+06
SPO3730	SPO3730				4.43E+06	5.75E+06	5.67E+06
SPO3731	SPO3731				2.38E+06	2.50E+06	2.44E+06
SPO3732	SPO3732				1.03E+06	1.14E+06	1.16E+06
SPO3733	SPO3733				1.15E+06	1.72E+06	1.61E+06
SPO3734	SPO3734				566935	378793	471313
SPO3735	SPO3735					131935	138217
SPO3736	SPO3736				1.35E+07	1.01E+07	1.06E+07
SPO3737	SPO3737				8.67E+06	8.49E+06	8.34E+06
SPO3738	SPO3738				836070	1.04E+06	1.09E+06
SPO3739	SPO3739				1.02E+06	1.04E+06	989044
SPO3740	SPO3740				8.76E+06	9.92E+06	1.10E+07
SPO3741	SPO3741				7.82E+06	6.60E+06	6.50E+06
SPO3742	SPO3742				336350	377182	451332
SPO3744	SPO3744				1.70E+08	1.14E+08	1.21E+08
SPO3745	SPO3745				2.84E+06	3.51E+06	3.30E+06
SPO3746	SPO3746				5.16E+06	5.03E+06	5.03E+06
SPO3747	SPO3747				1.41E+06	1.18E+06	1.26E+06
SPO3748	SPO3748				356818	408605	401266
SPO3749	SPO3749				821262	1.08E+06	1.06E+06
SPO3751	SPO3751				1.74E+06	1.80E+06	1.78E+06
SPO3752	SPO3752				615138	603117	666135
SPO3753	SPO3753				4.40E+06	4.13E+06	4.20E+06
SPO3754	SPO3754				1.43E+06	1.33E+06	1.43E+06
SPO3755	SPO3755				4.92E+06	3.53E+06	3.57E+06
SPO3756	SPO3756				764965	1.43E+06	1.30E+06
SPO3757	SPO3757				4.27E+06	5.13E+06	4.88E+06
SPO3758	SPO3758				2.93E+06	2.69E+06	2.73E+06
SPO3759	SPO3759				8.23E+06	7.03E+06	6.80E+06
SPO3760	SPO3760				1.34E+06	1.12E+06	1.20E+06
SPO3761	SPO3761				1.01E+07	1.09E+07	1.18E+07
SPO3762	SPO3762				5.54E+06	6.15E+06	6.71E+06
SPO3763	SPO3763				453653	496810	499976
SPO3764	SPO3764				5.17E+06	6.36E+06	5.77E+06
SPO3765	SPO3765				365899	271466	257147
SPO3766	SPO3766				789402	807070	857949
SPO3768	SPO3768				1.65E+07	1.74E+07	1.72E+07
SPO3769	SPO3769				2.30E+06	2.95E+06	3.32E+06
SPO3770	SPO3770				1.81E+07	1.98E+07	1.96E+07
SPO3771	SPO3771				950333	1.06E+06	1.10E+06
SPO3772	SPO3772				1.99E+07	1.57E+07	1.63E+07
SPO3774	SPO3774				9.11E+06	8.99E+06	9.06E+06
SPO3775	SPO3775				207039	536640	507474
SPO3776	SPO3776				1.76E+06	1.62E+06	1.76E+06
SPO3777	SPO3777				2.08E+06	1.93E+06	1.95E+06
SPO3778	SPO3778				1.74E+06	1.28E+06	1.38E+06
SPO3779	SPO3779				636153	761178	772144
SPO3780	SPO3780				1.10E+06	1.69E+06	1.66E+06
SPO3781	SPO3781						
SPO3782	SPO3782				304961	288399	228706
SPO3783	SPO3783				243097	182168	111076
SPO3784	SPO3784						
SPO3785	SPO3785						
SPO3786	SPO3786						
SPO3787	SPO3787				333424	328542	308753
SPO3788	SPO3788				168491	207642	169082
SPO3789	SPO3789				178889	175089	165856
SPO3790	SPO3790				343478	308776	307551
SPO3791	SPO3791				734554	763358	743879
SPO3792	SPO3792				617500	544231	577708
SPO3793	SPO3793				69492	60971.3	60504.4
SPO3795	SPO3795				289376	296042	308176
SPO3802	SPO3802				158544	216348	175484
SPO3803	SPO3803				310123	340626	337764
SPO3804	SPO3804				8.41E+06	9.64E+06	9.43E+06
SPO3805	SPO3805				5.93E+06	8.08E+06	8.20E+06
SPO3806	SPO3806				4.29E+06	3.24E+06	3.12E+06
SPO3807	SPO3807				435754	517008	492747
SPO3809	SPO3809				541812	483638	556345
SPO3810	SPO3810				2.24E+06	2.34E+06	2.47E+06
SPO3811	SPO3811				2.46E+06	2.24E+06	2.22E+06
SPO3812	SPO3812				1.35E+07	1.65E+07	1.77E+07
SPO3813	SPO3813				3.63E+06	4.38E+06	4.27E+06
SPO3814	SPO3814				3.63E+06	3.13E+06	3.13E+06
SPO3815	SPO3815				4.64E+06	4.67E+06	4.69E+06
SPO3816	SPO3816				238768	593903	589284
SPO3817	SPO3817				1.29E+07	1.17E+07	1.26E+07
SPO3818	SPO3818				1.02E+07	1.04E+07	1.01E+07
SPO3819	SPO3819				1.84E+06	1.92E+06	1.91E+06
SPO3820	SPO3820				938368	890540	938945
SPO3821	SPO3821				6.99E+06	8.29E+06	8.87E+06
SPO3822	SPO3822				2.05E+06	1.99E+06	2.13E+06
SPO3823	SPO3823				6.94E+07	3.24E+07	3.61E+07
SPO3824	SPO3824				1.28E+08	7.48E+07	7.25E+07
SPO3825	SPO3825				9.25E+07	5.22E+07	5.27E+07
SPO3826	SPO3826				6.98E+07	5.68E+07	5.68E+07
SPO3827	SPO3827				3.40E+06	2.52E+06	2.57E+06
SPO3828	SPO3828				6.17E+06	6.01E+06	5.90E+06
SPO3829	SPO3829				8.06E+06	7.37E+06	7.69E+06
SPO3830	SPO3830				8.39E+06	8.48E+06	8.74E+06
SPO3831	SPO3831				3.34E+06	3.16E+06	3.08E+06
SPO3832	SPO3832				2.50E+06	2.66E+06	2.60E+06
SPO3833	SPO3833				4.76E+06	4.12E+06	4.08E+06
SPO3834	SPO3834				6.86E+06	6.12E+06	6.60E+06
SPO3835	SPO3835				8.42E+06	6.57E+06	6.24E+06
SPO3836	SPO3836				2.28E+06	2.36E+06	2.31E+06
SPO3837	SPO3837				4.10E+06	3.51E+06	3.79E+06
SPO3838	SPO3838				910824	844339	724249
SPO3839	SPO3839				43624.3	124766	126850
SPO3840	SPO3840				9.95E+07	5.72E+07	5.04E+07
SPO3841	SPO3841				496502	663543	625194
SPO3842	SPO3842				3.92E+06	3.48E+06	3.58E+06
SPO3843	SPO3843						
SPO3844	SPO3844				4.22E+06	4.14E+06	4.13E+06
SPO3845	SPO3845				101982	171438	181977
SPO3846	SPO3846				8.31E+06	1.02E+07	9.56E+06
SPO3847	SPO3847				2.55E+06	2.36E+06	2.38E+06
SPO3849	SPO3849				234640	292558	245245
SPO3850	SPO3850				9.73E+06	1.21E+07	1.28E+07
SPO3851	SPO3851				1.30E+07	1.19E+07	1.15E+07
SPO3852	SPO3852				4.28E+06	8.34E+06	6.51E+06
SPO3853	SPO3853				1.09E+06	1.06E+06	1.03E+06
SPO3854	SPO3854				1.43E+06	1.10E+06	1.18E+06
SPO3855	SPO3855				1.87E+06	1.62E+06	1.81E+06
SPO3856	SPO3856				9.45E+06	8.17E+06	8.95E+06
SPO3857	SPO3857				6.40E+06	6.37E+06	6.75E+06
SPO3859	SPO3859				8.14E+07	7.68E+07	7.90E+07
SPO3860	SPO3860				615691	505740	543610
SPO3861	SPO3861				3.47E+07	2.85E+07	2.95E+07
SPO3863	SPO3863				871883	912169	918012
SPO3864	SPO3864				1.85E+06	1.74E+06	1.75E+06
SPO3865	SPO3865				5.79E+06	6.53E+06	6.89E+06
SPO3866	SPO3866				1.02E+07	1.11E+07	1.05E+07
SPO3867	SPO3867				2.20E+06	2.03E+06	1.94E+06
SPO3868	SPO3868				3.30E+06	4.17E+06	4.25E+06
SPO3869	SPO3869				544968	758739	757169
SPO3870	SPO3870				2.44E+06	3.00E+06	2.89E+06
SPO3871	SPO3871				1.39E+06	1.53E+06	1.51E+06
SPO3872	SPO3872				1.97E+06	1.90E+06	1.89E+06
SPO3873	SPO3873				1.75E+06	1.91E+06	1.93E+06
SPO3874	SPO3874				3.72E+07	2.89E+07	2.58E+07
SPO3875	SPO3875				764831	1.11E+06	988744
SPO3876	SPO3876				383880	401408	413288
SPO3877	SPO3877				436684	352174	331914
SPO3878	SPO3878				544372	603897	610411
SPO3879	SPO3879						
SPO3880	SPO3880				1.06E+07	1.07E+07	1.04E+07
SPO3881	SPO3881				665143	655118	787639
SPO3882	SPO3882				1.34E+07	1.24E+07	1.24E+07
SPO3883	SPO3883				2.52E+06	2.68E+06	2.70E+06
SPO3884	SPO3884				935988	750344	774776
SPO3885	SPO3885				1.25E+06	1.10E+06	1.16E+06
SPO3886	SPO3886				1.52E+07	1.65E+07	1.74E+07
SPO3887	SPO3887				3.21E+06	2.63E+06	2.64E+06
SPO3888	SPO3888				4.44E+07	5.04E+07	4.82E+07
SPO3889	SPO3889				2.17E+06	2.07E+06	2.37E+06
SPO3890	SPO3890				2.30E+06	2.24E+06	2.23E+06
SPO3891	SPO3891				9.98E+06	1.03E+07	1.04E+07
SPO3892	SPO3892				1.82E+06	2.43E+06	2.43E+06
SPO3893	SPO3893				1.13E+06	1.80E+06	1.79E+06
SPO3894	SPO3894				1.54E+07	1.35E+07	1.41E+07
SPO3895	SPO3895				1.03E+06	1.33E+06	1.30E+06
SPO3896	SPO3896				2.84E+06	2.65E+06	2.63E+06
SPO3898	SPO3898				72332.3	23322.8	38582.2
SPO3899	SPO3899				855480	808281	856608
SPO3900	SPO3900				502166	658695	650390
SPO3901	SPO3901				1.55E+06	1.32E+06	1.43E+06
SPO3902	SPO3902						
SPO3903	SPO3903				296184	534154	588144
SPO3904	SPO3904				1.32E+06	1.40E+06	1.54E+06
SPOA0001	SPOA0001				1.74E+06	1.52E+06	1.60E+06
SPOA0002	SPOA0002				4.82E+06	5.14E+06	5.38E+06
SPOA0003	SPOA0003				440807	343842	375080
SPOA0004	SPOA0004				1.70E+07	1.03E+07	1.04E+07
SPOA0005	SPOA0005				4.57E+06	2.48E+06	2.49E+06
SPOA0006	SPOA0006				4.61E+06	5.61E+06	5.95E+06
SPOA0008	SPOA0008				403069	444276	500156
SPOA0009	SPOA0009				2.21E+06	2.11E+06	2.32E+06
SPOA0010	SPOA0010				1.06E+06	912567	969698
SPOA0011	SPOA0011				5.49E+07	7.01E+07	7.07E+07
SPOA0012	SPOA0012				1.29E+06	1.44E+06	1.30E+06
SPOA0013	SPOA0013				1.43E+06	1.76E+06	1.61E+06
SPOA0014	SPOA0014				3.22E+06	2.86E+06	2.88E+06
SPOA0015	SPOA0015				8.13E+06	8.78E+06	8.92E+06
SPOA0017	SPOA0017				5.31E+06	6.27E+06	6.22E+06
SPOA0018	SPOA0018					50282.7	73037.4
SPOA0020	SPOA0020				499124	478178	484698
SPOA0021	SPOA0021				650305	707194	705180
SPOA0022	SPOA0022						
SPOA0023	SPOA0023				271716	633716	607252
SPOA0024	SPOA0024				1.52E+06	1.35E+06	1.44E+06
SPOA0025	SPOA0025				3.18E+06	3.11E+06	3.14E+06
SPOA0026	SPOA0026				302720	305971	313400
SPOA0027	SPOA0027				2.13E+06	2.27E+06	2.31E+06
SPOA0028	SPOA0028				2.68E+07	2.29E+07	2.34E+07
SPOA0029	SPOA0029				7.65E+06	9.55E+06	8.98E+06
SPOA0030	SPOA0030				2.00E+07	1.99E+07	2.01E+07
SPOA0031	SPOA0031				4.95E+06	4.43E+06	4.18E+06
SPOA0032	SPOA0032						
SPOA0033	SPOA0033				2.36E+07	2.27E+07	2.21E+07
