Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO2146	SPO2146				5.75E+06	5.82E+06	5.94E+06
SPO2147	SPO2147				574121	583267	587972
SPO2148	SPO2148				9.97E+06	1.04E+07	1.00E+07
SPO2149	SPO2149				5.70E+06	5.30E+06	5.52E+06
SPO2150	SPO2150				5.57E+06	5.44E+06	5.56E+06
SPO2151	SPO2151				1.56E+07	1.53E+07	1.50E+07
SPO2152	SPO2152				6.40E+06	6.22E+06	6.12E+06
SPO2153	SPO2153				3.01E+06	2.86E+06	2.97E+06
SPO2154	SPO2154				3.86E+06	4.02E+06	3.99E+06
SPO2155	SPO2155					360554	263493
SPO2156	SPO2156				9.37E+06	9.09E+06	8.95E+06
SPO2157	SPO2157				9.92E+07	9.68E+07	9.83E+07
SPO2158	SPO2158				27429.3	27733.2	21668.4
SPO2159	SPO2159				342696	304730	341452
SPO2160	SPO2160				4.46E+06	4.34E+06	4.23E+06
SPO2161	SPO2161				1.90E+06	1.85E+06	1.90E+06
SPO2162	SPO2162				1.29E+06	1.32E+06	1.38E+06
SPO2163	SPO2163				64355.9		64127.5
SPO2164	SPO2164				114571	106669	123856
SPO2165	SPO2165				4.04E+06	4.00E+06	3.96E+06
SPO2166	SPO2166				6.16E+06	6.10E+06	6.24E+06
SPO2167	SPO2167				6.21E+06	6.06E+06	6.02E+06
SPO2168	SPO2168				4.25E+06	4.48E+06	4.46E+06
SPO2169	SPO2169				8.33E+06	8.39E+06	8.03E+06
SPO2170	SPO2170				724130	690856	687134
SPO2171	SPO2171				842854	935339	883134
SPO2173	SPO2173				1.26E+06	1.30E+06	1.35E+06
SPO2174	SPO2174				2.15E+06	2.08E+06	2.12E+06
SPO2176	SPO2176				137125	170003	167257
SPO2177	SPO2177				421073	424532	430509
SPO2178	SPO2178				439389	424495	404166
SPO2180	SPO2180				990050	986714	937527
SPO2181	SPO2181				514886	537561	545879
SPO2182	SPO2182				170943	201693	153311
SPO2183	SPO2183				418997	404139	467498
SPO2184	SPO2184				1.61E+06	1.70E+06	1.64E+06
SPO2185	SPO2185				6.35E+06	5.90E+06	5.96E+06
SPO2186	SPO2186				1.67E+06	1.67E+06	1.82E+06
SPO2187	SPO2187				1.07E+08	1.05E+08	1.03E+08
SPO2188	SPO2188				133861	156789	127480
SPO2189	SPO2189				704917	684858	669660
SPO2190	SPO2190				896788	902154	928745
SPO2191	SPO2191				1.92E+06	1.83E+06	1.92E+06
SPO2192	SPO2192				3.73E+06	3.61E+06	3.51E+06
SPO2192a	SPO2192a				1.68E+06	1.62E+06	1.62E+06
SPO2193	SPO2193				7.39E+06	7.12E+06	7.29E+06
SPO2194	SPO2194				2.40E+06	2.32E+06	2.38E+06
SPO2195	SPO2195				1.42E+06	1.51E+06	1.63E+06
SPO2196	SPO2196				5.91E+06	5.95E+06	5.91E+06
SPO2197	SPO2197				4.70E+06	4.46E+06	4.38E+06
SPO2198	SPO2198				2.32E+06	2.34E+06	2.33E+06
SPO2200	SPO2200				3.60E+06	3.59E+06	3.56E+06
SPO2201	SPO2201				1.63E+07	1.62E+07	1.52E+07
SPO2202	SPO2202				2.00E+06	1.99E+06	2.05E+06
SPO2203	SPO2203				3.20E+07	3.19E+07	3.08E+07
SPO2205	SPO2205				1.59E+06	1.59E+06	1.61E+06
SPO2206	SPO2206				1.12E+06	1.05E+06	1.22E+06
SPO2208	SPO2208				2.56E+06	2.52E+06	2.47E+06
SPO2209	SPO2209				2.98E+06	2.87E+06	2.92E+06
SPO2210	SPO2210				1.42E+07	1.36E+07	1.42E+07
SPO2211	SPO2211				1.10E+07	1.09E+07	1.11E+07
SPO2212	SPO2212				5.89E+06	6.02E+06	5.89E+06
SPO2213	SPO2213				1.63E+07	1.69E+07	1.67E+07
SPO2213a	SPO2213a				8.09E+06	7.47E+06	7.29E+06
SPO2214	SPO2214				636219	669567	612260
SPO2215	SPO2215				104179	113330	108569
SPO2216	SPO2216				176416	171459	185090
SPO2218	SPO2218				5.81E+06	5.70E+06	5.88E+06
SPO2219	SPO2219				180653	187509	186960
SPO2220	SPO2220				182987	205340	204665
SPO2221	SPO2221				6.24E+06	6.76E+06	6.64E+06
SPO2222	SPO2222				1.26E+07	1.22E+07	1.23E+07
SPO2223	SPO2223				2.89E+06	2.88E+06	2.81E+06
SPO2224	SPO2224				8.54E+06	8.26E+06	8.45E+06
SPO2226	SPO2226				2.27E+06	2.20E+06	2.23E+06
SPO2227	SPO2227				1.19E+06	1.22E+06	1.19E+06
SPO2228	SPO2228				9.43E+06	9.68E+06	9.73E+06
SPO2229	SPO2229				2.12E+06	2.17E+06	2.22E+06
SPO2230	SPO2230				5.94E+06	5.83E+06	6.06E+06
SPO2231	SPO2231				4.01E+07	3.92E+07	4.04E+07
SPO2232	SPO2232				308346	248657	258040
SPO2233	SPO2233				2.32E+07	2.32E+07	2.12E+07
SPO2234	SPO2234				4.29E+07	4.34E+07	4.39E+07
SPO2235	SPO2235				1.13E+07	1.14E+07	1.12E+07
SPO2237	SPO2237						
SPO2238	SPO2238				713603	701237	712506
SPO2239	SPO2239				630959	589033	556088
SPO2240	SPO2240				1.30E+07	1.25E+07	1.31E+07
SPO2241	SPO2241				1.89E+07	1.74E+07	1.82E+07
SPO2242	SPO2242				2.77E+07	2.70E+07	2.80E+07
SPO2243	SPO2243				1.85E+06	1.85E+06	1.78E+06
SPO2245	SPO2245				475376	489715	433441
SPO2246	SPO2246				1.81E+07	1.79E+07	1.82E+07
SPO2247	SPO2247				1.03E+07	9.26E+06	9.91E+06
SPO2248	SPO2248				76716.7	81335.4	68053
SPO2250	SPO2250				187216	149241	126729
SPO2252	SPO2252				23731.3	39459.9	41606.8
SPO2253	SPO2253				294001	197363	279086
SPO2257	SPO2257				193848	163413	161157
SPO2258	SPO2258					28233.7	
SPO2259	SPO2259				67474.4	22611.3	
SPO2260	SPO2260					25803.9	355148
SPO2261	SPO2261				163523	172075	169545
SPO2262	SPO2262				135765	92546.8	74071.4
SPO2263	SPO2263						34107.2
SPO2264	SPO2264				80707.6	55690.9	68856.2
SPO2266	SPO2266				46511.1	72667	88862.4
SPO2267	SPO2267						
SPO2268	SPO2268				417798	405208	390617
SPO2269	SPO2269				12146.1	14242.6	19751.4
SPO2270	SPO2270				4.55E+06	4.43E+06	4.46E+06
SPO2271	SPO2271				2.26E+07	2.04E+07	2.03E+07
SPO2272	SPO2272				2.47E+06	2.41E+06	2.33E+06
SPO2273	SPO2273				4.15E+06	4.12E+06	4.29E+06
SPO2274	SPO2274				5.53E+06	5.10E+06	5.58E+06
SPO2275	SPO2275				3.04E+07	2.90E+07	2.88E+07
SPO2276	SPO2276				2.60E+07	2.61E+07	2.54E+07
SPO2277	SPO2277				570409	582637	644252
SPO2278	SPO2278				2.18E+06	2.13E+06	2.25E+06
SPO2279	SPO2279				9.04E+06	7.99E+06	9.16E+06
SPO2280	SPO2280				2.22E+06	2.12E+06	1.86E+06
SPO2281	SPO2281				5.91E+07	5.79E+07	6.39E+07
SPO2282	SPO2282				8.22E+07	7.59E+07	7.97E+07
SPO2283	SPO2283				8.00E+07	8.34E+07	8.26E+07
SPO2284	SPO2284				1.27E+07	1.31E+07	1.38E+07
SPO2285	SPO2285				162109	250099	165961
SPO2286	SPO2286				1.48E+06	1.44E+06	1.46E+06
SPO2287	SPO2287				1.15E+06	1.21E+06	1.23E+06
SPO2288	SPO2288				3.42E+07	3.33E+07	3.34E+07
SPO2289	SPO2289				1.33E+07	1.18E+07	1.22E+07
SPO2290	SPO2290				2.32E+07	2.22E+07	2.41E+07
SPO2293	SPO2293				2.12E+06	2.04E+06	2.02E+06
SPO2294	SPO2294				9.84E+06	1.09E+07	9.59E+06
SPO2295	SPO2295				4.09E+07	3.84E+07	3.96E+07
SPO2296	SPO2296				3.49E+06	3.17E+06	3.67E+06
SPO2297	SPO2297				589544	592462	620523
SPO2298	SPO2298				1.58E+06	1.53E+06	1.44E+06
SPO2299	SPO2299				80580.3	76708	94303.3
SPO2301	SPO2301				506594	403006	460809
SPO2302	SPO2302				8.80E+06	8.00E+06	9.96E+06
SPO2303	SPO2303				292821	331644	356957
SPO2304	SPO2304				1.02E+06	863585	888261
SPO2305	SPO2305				2.01E+07	1.96E+07	2.04E+07
SPO2307	SPO2307				332100	422849	418023
SPO2308	SPO2308					83667.9	29209.8
SPO2309	SPO2309				127554	131214	134993
SPO2310	SPO2310				2.97E+06	2.97E+06	2.95E+06
SPO2311	SPO2311				189219	168138	199154
SPO2312	SPO2312				3.94E+07	3.90E+07	4.09E+07
SPO2313	SPO2313				19429.9	26622.5	
SPO2314	SPO2314				6.43E+06	6.56E+06	6.22E+06
SPO2315	SPO2315				5.65E+06	5.62E+06	5.75E+06
SPO2317	SPO2317				1.53E+06	1.66E+06	1.67E+06
SPO2318	SPO2318				954664	995440	1.07E+06
SPO2320	SPO2320				8.43E+06	8.40E+06	8.62E+06
SPO2321	SPO2321				6.91E+06	6.62E+06	6.48E+06
SPO2322	SPO2322				1.53E+07	1.43E+07	1.55E+07
SPO2323	SPO2323				518168	490728	511395
SPO2325	SPO2325				1.33E+07	1.35E+07	1.35E+07
SPO2326	SPO2326				1.16E+07	1.15E+07	1.15E+07
SPO2327	SPO2327				591492	543417	546174
SPO2328	SPO2328				5.68E+06	5.91E+06	5.75E+06
SPO2329	SPO2329				1.28E+07	1.29E+07	1.24E+07
SPO2330	SPO2330				1.33E+06	1.17E+06	1.31E+06
SPO2331	SPO2331				6.29E+06	6.87E+06	5.99E+06
SPO2332	SPO2332				2.63E+06	2.86E+06	2.62E+06
SPO2334	SPO2334				384065	377365	342739
SPO2335	SPO2335				1.21E+06	1.17E+06	1.21E+06
SPO2336	SPO2336				3.00E+06	2.90E+06	2.69E+06
SPO2337	SPO2337				5.79E+06	5.61E+06	6.01E+06
SPO2338	SPO2338				394617	368263	211116
SPO2339	SPO2339				675985	654009	671989
SPO2340	SPO2340				5.50E+07	5.57E+07	5.45E+07
SPO2341	SPO2341				283065	272475	278025
SPO2341a	SPO2341a				6.60E+06	6.75E+06	6.59E+06
SPO2342	SPO2342				1.07E+06	1.08E+06	1.07E+06
SPO2343	SPO2343				2.41E+06	2.44E+06	2.64E+06
SPO2344	SPO2344				3.10E+06	3.05E+06	3.17E+06
SPO2345	SPO2345				7.57E+06	7.77E+06	7.68E+06
SPO2346	SPO2346				1.53E+06	1.53E+06	1.43E+06
SPO2347	SPO2347				750027	696836	707365
SPO2348	SPO2348				4.46E+06	4.28E+06	4.64E+06
SPO2349	SPO2349				4.00E+06	3.94E+06	3.72E+06
SPO2350	SPO2350				2.76E+06	2.87E+06	2.75E+06
SPO2351	SPO2351				616630	668153	606868
SPO2353	SPO2353				994529	1.04E+06	1.02E+06
SPO2354	SPO2354				1.09E+06	1.07E+06	1.25E+06
SPO2355	SPO2355				2.25E+06	2.23E+06	2.20E+06
SPO2358	SPO2358				263801	244551	263591
SPO2359	SPO2359				204182	193647	200925
SPO2361	SPO2361				734107	697566	666128
SPO2362	SPO2362				591117	576096	580173
SPO2363	SPO2363				271938	246367	213035
SPO2364	SPO2364					106184	
SPO2365	SPO2365						
SPO2366	SPO2366					92877.2	
SPO2367	SPO2367				38154.5	55801.4	36494.8
SPO2368	SPO2368						
SPO2369	SPO2369				1.21E+06	1.21E+06	1.15E+06
SPO2370	SPO2370				1.24E+07	1.12E+07	1.26E+07
SPO2371	SPO2371				2.44E+07	2.32E+07	2.46E+07
SPO2372	SPO2372				352590	372919	401168
SPO2373	SPO2373				1.07E+06	1.13E+06	1.00E+06
SPO2374	SPO2374				3.09E+06	3.02E+06	3.13E+06
SPO2376	SPO2376				264723	286353	259814
SPO2377	SPO2377				47530.6	45201.5	43482.2
SPO2378	SPO2378				335496	325333	324858
SPO2381	SPO2381				521102	527039	523354
SPO2382	SPO2382				2.24E+06	2.17E+06	2.03E+06
SPO2383	SPO2383				417785	431088	
SPO2385	SPO2385				382203	357819	354602
SPO2386	SPO2386						28514.7
SPO2387	SPO2387				161761	145736	128952
SPO2389	SPO2389				2.43E+06	2.38E+06	2.26E+06
SPO2393	SPO2393				143181	144077	98602.7
SPO2394	SPO2394					31294.6	
SPO2395	SPO2395						
SPO2396	SPO2396				140593	84383.2	123237
SPO2397	SPO2397				223531	282374	270710
SPO2398	SPO2398				94871.5	336947	370143
SPO2399	SPO2399				97203.1	65034.8	861935
SPO2400	SPO2400				405213	407391	406873
SPO2401	SPO2401					55638.2	89671.8
SPO2409	SPO2409				897821	863541	883833
SPO2410	SPO2410				889603	871418	857013
SPO2411	SPO2411				240157	193277	176665
SPO2412	SPO2412				409781	295718	315871
SPO2413	SPO2413				300695	323184	320616
SPO2414	SPO2414				283858	244772	287729
SPO2415	SPO2415				161257	138585	132665
SPO2416	SPO2416					13204.4	
SPO2417	SPO2417				355059	368998	368840
SPO2418	SPO2418				30297.6		
SPO2419	SPO2419				413243	440161	418730
SPO2420	SPO2420				414708	411942	410306
SPO2421	SPO2421				485849	481587	451817
SPO2422	SPO2422				1.18E+06	1.09E+06	1.15E+06
SPO2424	SPO2424				525544	496968	470610
SPO2425	SPO2425				70732.4	77056.9	88078.9
SPO2427	SPO2427				431630	447362	457502
SPO2428	SPO2428				678456	651228	663299
SPO2429	SPO2429					54155.7	
SPO2430	SPO2430				167856	155978	167500
SPO2431	SPO2431						28355.2
SPO2433	SPO2433				199972	195530	166973
SPO2434	SPO2434				3.48E+06	3.49E+06	3.49E+06
SPO2435	SPO2435				1.24E+07	1.20E+07	1.17E+07
SPO2436	SPO2436				313281	282563	325111
SPO2437	SPO2437				173137	156144	169975
SPO2438	SPO2438				310504	354615	278445
SPO2439	SPO2439				371811	356245	349842
SPO2440	SPO2440				780911	804918	726552
SPO2441	SPO2441				785342	681571	653091
SPO2442	SPO2442				115660	117438	133113
SPO2443	SPO2443				315073	318493	305192
SPO2444	SPO2444				9.09E+07	9.26E+07	9.21E+07
SPO2445	SPO2445					28454.6	
SPO2446	SPO2446				2.75E+06	2.76E+06	2.78E+06
SPO2447	SPO2447				1.34E+06	1.33E+06	1.37E+06
SPO2448	SPO2448				86100.3	82735.8	58389.5
SPO2449	SPO2449				1.79E+06	1.86E+06	1.76E+06
SPO2450	SPO2450				621806	597718	552082
SPO2451	SPO2451				467577	488632	410738
SPO2452	SPO2452				909403	804092	794346
SPO2453	SPO2453				1.41E+07	1.39E+07	1.40E+07
SPO2454	SPO2454				956717	987385	988543
SPO2455	SPO2455				3.10E+06	2.99E+06	3.13E+06
SPO2456	SPO2456				9.45E+06	9.24E+06	8.88E+06
SPO2457	SPO2457				2.23E+06	2.23E+06	2.15E+06
SPO2458	SPO2458				2.03E+06	2.09E+06	2.06E+06
SPO2459	SPO2459				1.57E+07	1.61E+07	1.53E+07
SPO2460	SPO2460				1.32E+06	1.39E+06	1.36E+06
SPO2461	SPO2461				3.87E+06	3.73E+06	3.67E+06
SPO2462	SPO2462				98851	81906.3	56031.3
SPO2463	SPO2463				665596	599969	618155
SPO2464	SPO2464				2.57E+06	2.72E+06	2.57E+06
SPO2465	SPO2465				81703.4	94803.3	72515.2
SPO2466	SPO2466				379190	382152	325528
SPO2467	SPO2467				4.07E+06	3.99E+06	3.76E+06
SPO2468	SPO2468				4.23E+06	4.37E+06	4.22E+06
SPO2469	SPO2469				3.87E+06	4.03E+06	3.90E+06
SPO2470	SPO2470				2.85E+06	2.52E+06	2.46E+06
SPO2471	SPO2471				857714	830972	770144
SPO2473	SPO2473				1.54E+06	1.54E+06	1.45E+06
SPO2474	SPO2474				5.26E+07	5.55E+07	5.29E+07
SPO2475	SPO2475				533581	413721	519455
SPO2476	SPO2476				878862	899789	892053
SPO2477	SPO2477				3.64E+06	3.89E+06	3.47E+06
SPO2478	SPO2478				1.11E+07	1.10E+07	8.87E+06
SPO2479	SPO2479				1.50E+06	1.54E+06	1.54E+06
SPO2480	SPO2480				3.02E+06	2.99E+06	3.09E+06
SPO2482	SPO2482				599302	599551	583213
SPO2483	SPO2483				1.84E+06	1.82E+06	1.69E+06
SPO2484	SPO2484				1.45E+07	1.46E+07	1.41E+07
SPO2486	SPO2486				4597.73		2396.63
SPO2487	SPO2487				2.84E+07	2.77E+07	2.83E+07
SPO2488	SPO2488				1.99E+06	2.03E+06	2.01E+06
SPO2489	SPO2489				557860	557597	593198
SPO2490	SPO2490				6.98E+06	7.07E+06	7.20E+06
SPO2491	SPO2491				1.99E+06	1.98E+06	1.84E+06
SPO2492	SPO2492				5.80E+06	4.81E+06	4.73E+06
SPO2493	SPO2493				3.11E+06	3.06E+06	3.08E+06
SPO2494	SPO2494				9.47E+06	9.17E+06	9.30E+06
SPO2495	SPO2495				1.57E+07	1.56E+07	1.63E+07
SPO2496	SPO2496				2.99E+06	2.99E+06	2.96E+06
SPO2498	SPO2498				4.29E+06	4.12E+06	4.08E+06
SPO2499	SPO2499				1.74E+06	1.34E+06	1.58E+06
SPO2500	SPO2500				3.38E+06	3.37E+06	3.34E+06
SPO2501	SPO2501				1.97E+06	1.87E+06	1.88E+06
SPO2502	SPO2502				3.47E+06	3.46E+06	3.43E+06
SPO2503	SPO2503				5.00E+06	5.03E+06	4.85E+06
SPO2504	SPO2504				1.43E+07	1.45E+07	1.46E+07
SPO2505	SPO2505				2.32E+06	2.25E+06	2.35E+06
SPO2506	SPO2506				3.78E+06	3.62E+06	3.48E+06
SPO2507	SPO2507				69733.4	54996	67912.6
SPO2509	SPO2509				8.30E+06	8.73E+06	8.57E+06
SPO2510	SPO2510				1.15E+06	1.17E+06	1.15E+06
SPO2511	SPO2511				1.04E+07	1.11E+07	1.05E+07
SPO2512	SPO2512				9.47E+06	9.44E+06	9.66E+06
SPO2513	SPO2513				3.05E+06	3.10E+06	3.06E+06
SPO2515	SPO2515				2.05E+06	2.10E+06	1.99E+06
SPO2516	SPO2516				608148	631218	570949
SPO2517	SPO2517				1.26E+06	1.28E+06	1.22E+06
SPO2518	SPO2518				1.42E+06	1.32E+06	1.38E+06
SPO2519	SPO2519				1.21E+06	1.22E+06	1.17E+06
SPO2520	SPO2520				4.22E+06	4.10E+06	4.13E+06
SPO2521	SPO2521				1.27E+06	1.35E+06	1.30E+06
SPO2522	SPO2522				702848	670827	642190
SPO2523	SPO2523				2.43E+06	2.47E+06	2.44E+06
SPO2524	SPO2524				454169	458409	426625
SPO2527	SPO2527				863034	890713	800621
SPO2528	SPO2528				564659	569044	564120
SPO2529	SPO2529				331600	300144	306686
SPO2530	SPO2530				32118.7	36208.8	33922
SPO2532	SPO2532				72024	69314.8	61152
SPO2533	SPO2533					70100.5	57703.9
SPO2534	SPO2534				491696	409404	492975
SPO2535	SPO2535				100226	93819.3	94631.4
SPO2536	SPO2536				314546	295132	304644
SPO2538	SPO2538				430081	393681	372940
SPO2539	SPO2539				561145	591561	558039
SPO2540	SPO2540				409718	386770	403875
SPO2541	SPO2541				74335	113900	114145
SPO2543	SPO2543				2.72E+06	2.79E+06	2.72E+06
SPO2544	SPO2544				616135	565893	529946
SPO2545	SPO2545				651071	651015	587022
SPO2548	SPO2548				890654	927646	1.01E+06
SPO2549	SPO2549				64586.2	59282.8	44637.3
SPO2550	SPO2550				1.29E+06	1.30E+06	1.26E+06
SPO2551	SPO2551				89675.4	75966.1	82807.5
SPO2552	SPO2552				181833	156397	136784
SPO2553	SPO2553						
SPO2554	SPO2554				313980	331480	312528
SPO2555	SPO2555				37381.4	28520.3	24461.2
SPO2556	SPO2556				49236.4	79157	59008.4
SPO2559	SPO2559					23755.9	23295.5
SPO2560	SPO2560				1.61E+06	1.63E+06	1.63E+06
SPO2561	SPO2561				1.23E+06	1.13E+06	1.12E+06
SPO2562	SPO2562				1.78E+06	1.84E+06	1.68E+06
SPO2563	SPO2563				1.72E+06	1.77E+06	1.67E+06
SPO2565	SPO2565				521148	553648	469188
SPO2566	SPO2566				1.09E+06	1.11E+06	1.07E+06
SPO2567	SPO2567				438474	443267	457474
SPO2568	SPO2568				813966	793926	812006
SPO2569	SPO2569				910126	932269	945378
SPO2570	SPO2570				2.28E+06	2.45E+06	2.14E+06
SPO2571	SPO2571				1.17E+06	1.16E+06	1.24E+06
SPO2572	SPO2572				466249	402085	487740
SPO2573	SPO2573				8.45E+06	7.64E+06	7.86E+06
SPO2574	SPO2574				846615	899664	857923
SPO2575	SPO2575				2.48E+06	2.31E+06	2.30E+06
SPO2576	SPO2576				228727	197009	204006
SPO2577	SPO2577				142128	141003	137819
SPO2578	SPO2578				1.04E+07	1.04E+07	1.08E+07
SPO2579	SPO2579				1.18E+07	1.17E+07	1.23E+07
SPO2580	SPO2580				140594	132758	135945
SPO2581	SPO2581				1.22E+06	1.32E+06	1.37E+06
SPO2582	SPO2582				2.48E+06	2.28E+06	2.25E+06
SPO2583	SPO2583				5.51E+06	5.40E+06	5.25E+06
SPO2584	SPO2584				446508	422055	395264
SPO2585	SPO2585				9.24E+06	9.26E+06	9.14E+06
SPO2587	SPO2587				9.55E+06	9.41E+06	9.58E+06
SPO2588	SPO2588				1.96E+06	2.00E+06	2.02E+06
SPO2589	SPO2589				5.46E+06	5.76E+06	6.18E+06
SPO2590	SPO2590				2.83E+06	2.86E+06	2.85E+06
SPO2591	SPO2591				1.65E+07	1.76E+07	1.64E+07
SPO2592	SPO2592				3.53E+06	3.77E+06	3.70E+06
SPO2594	SPO2594				7.17E+06	7.09E+06	7.10E+06
SPO2595	SPO2595				2.49E+06	2.53E+06	2.46E+06
SPO2596	SPO2596				4.05E+06	4.10E+06	4.14E+06
SPO2597	SPO2597				1.77E+07	1.67E+07	1.71E+07
SPO2598	SPO2598				2.05E+06	2.00E+06	2.01E+06
SPO2601	SPO2601				470453	488921	486077
SPO2602	SPO2602				800323	755505	737254
SPO2603	SPO2603				656956	624182	625106
SPO2604	SPO2604				115330	152880	131400
SPO2605	SPO2605				464093	472340	460402
SPO2606	SPO2606				1.26E+07	1.20E+07	1.23E+07
SPO2607	SPO2607				3.05E+06	2.90E+06	3.03E+06
SPO2608	SPO2608				4.12E+06	4.19E+06	4.18E+06
SPO2609	SPO2609				5.53E+06	5.54E+06	5.60E+06
SPO2610	SPO2610				5.19E+06	4.89E+06	5.17E+06
SPO2612	SPO2612				8.98E+06	9.41E+06	8.32E+06
SPO2613	SPO2613				1.96E+07	1.97E+07	1.94E+07
SPO2614	SPO2614				1.81E+06	1.84E+06	1.88E+06
SPO2615	SPO2615				8.86E+07	8.94E+07	9.04E+07
SPO2616	SPO2616				3.30E+06	3.32E+06	3.35E+06
SPO2617	SPO2617				5.74E+06	5.35E+06	5.21E+06
SPO2618	SPO2618				1.82E+06	1.80E+06	1.78E+06
SPO2619	SPO2619				913645	812964	795639
SPO2620	SPO2620				2.19E+06	2.05E+06	2.24E+06
SPO2621	SPO2621				5.59E+06	5.55E+06	5.36E+06
SPO2622	SPO2622				639691	638018	652560
SPO2624	SPO2624				1.10E+06	1.03E+06	1.09E+06
SPO2625	SPO2625				421775	432306	391772
SPO2626	SPO2626				78097.6	56810	91348.2
SPO2627	SPO2627				619579	615945	826390
SPO2628	SPO2628				4.20E+06	4.16E+06	4.09E+06
SPO2629	SPO2629				2.35E+06	2.37E+06	2.24E+06
SPO2630	SPO2630				864084	891482	866443
SPO2631	SPO2631				1.02E+07	1.05E+07	1.01E+07
SPO2632	SPO2632				150136	132034	158430
SPO2633	SPO2633				1.67E+06	1.63E+06	1.67E+06
SPO2634	SPO2634				6.69E+06	6.81E+06	6.70E+06
SPO2635	SPO2635				1.78E+06	1.70E+06	1.67E+06
SPO2636	SPO2636				4.06E+06	4.12E+06	4.13E+06
SPO2637	SPO2637				1.04E+07	1.03E+07	1.03E+07
SPO2638	SPO2638				2.15E+07	2.11E+07	2.17E+07
SPO2639	SPO2639				739293	743426	719558
SPO2640	SPO2640				1.22E+06	1.19E+06	1.22E+06
SPO2643	SPO2643				60473	62383.5	59315.7
SPO2644	SPO2644				665717	624219	651876
SPO2645	SPO2645				3.15E+06	3.28E+06	3.14E+06
SPO2646	SPO2646				2.71E+06	2.64E+06	2.56E+06
SPO2647	SPO2647				2.66E+06	2.71E+06	2.67E+06
SPO2648	SPO2648				2.84E+06	2.97E+06	2.95E+06
SPO2649	SPO2649				1.89E+06	1.80E+06	1.84E+06
SPO2650	SPO2650				4.63E+06	4.64E+06	4.77E+06
SPO2651	SPO2651				2.35E+06	2.52E+06	2.35E+06
SPO2652	SPO2652				3.22E+06	3.32E+06	3.37E+06
SPO2652a	SPO2652a				811374	820292	812687
SPO2653	SPO2653				8.67E+06	8.57E+06	8.35E+06
SPO2654	SPO2654				1.27E+07	1.23E+07	1.23E+07
SPO2655	SPO2655				4.13E+06	4.04E+06	4.11E+06
SPO2656	SPO2656				667993	690381	662444
SPO2657	SPO2657				67710.3	41705.9	67683.9
SPO2658	SPO2658				1.37E+06	1.40E+06	1.32E+06
SPO2659	SPO2659				40320.8	48288.9	54014
SPO2660	SPO2660				143847	156154	163343
SPO2661	SPO2661				325105	333773	296584
SPO2662	SPO2662				93202	140214	126386
SPO2666	SPO2666				374422	361802	386389
SPO2668	SPO2668				745534	711268	651688
SPO2669	SPO2669				947290	951651	977446
SPO2670	SPO2670				7.33E+06	7.50E+06	7.42E+06
SPO2671	SPO2671				461344	489465	445810
SPO2672	SPO2672				4.36E+06	4.40E+06	4.40E+06
SPO2673	SPO2673				347474	344215	305492
SPO2674	SPO2674				3.00E+06	2.79E+06	2.75E+06
SPO2675	SPO2675				7117.08		12044.8
SPO2676	SPO2676						
SPO2677	SPO2677				1.22E+07	1.26E+07	1.24E+07
SPO2678	SPO2678				116579	125794	157577
SPO2679	SPO2679				1.01E+07	9.88E+06	1.01E+07
SPO2680	SPO2680				7.68E+06	7.37E+06	7.45E+06
SPO2681	SPO2681				3.20E+06	3.39E+06	3.41E+06
SPO2682	SPO2682				1.21E+06	1.23E+06	1.16E+06
SPO2683	SPO2683				4.66E+06	4.30E+06	4.67E+06
SPO2684	SPO2684				569495	585940	584291
SPO2685	SPO2685				361863	329834	358470
SPO2686	SPO2686				2.94E+07	2.97E+07	2.90E+07
SPO2687	SPO2687				1.51E+06	1.47E+06	1.49E+06
SPO2688	SPO2688				3.05E+06	2.91E+06	3.01E+06
SPO2689	SPO2689				3.12E+06	3.10E+06	3.03E+06
SPO2690	SPO2690				4.52E+06	4.48E+06	4.34E+06
SPO2691	SPO2691				2.02E+06	2.00E+06	2.08E+06
SPO2692	SPO2692				9.35E+06	9.55E+06	9.35E+06
SPO2693	SPO2693				2.41E+06	2.42E+06	2.32E+06
SPO2694	SPO2694				221496	231374	218453
SPO2695	SPO2695				3.87E+06	3.94E+06	3.86E+06
SPO2697	SPO2697				163666	134050	181948
SPO2698	SPO2698				302275	298724	300840
SPO2701	SPO2701					2643.86	17061.5
SPO2702	SPO2702				845875	1.01E+06	1.07E+06
SPO2704	SPO2704				131976	117180	140070
SPO2705	SPO2705				175840	156733	165228
SPO2706	SPO2706					11024.8	26345.5
SPO2707	SPO2707				386288	413007	421187
SPO2708	SPO2708				379858	377301	351764
SPO2709	SPO2709				217213	262466	203776
SPO2710	SPO2710				569747	556448	583330
SPO2711	SPO2711				86251.1	88733.9	82902.1
SPO2712	SPO2712				1.47E+06	1.46E+06	1.41E+06
SPO2713	SPO2713				744809	724698	714539
SPO2714	SPO2714				674783	694441	686523
SPO2715	SPO2715				816486	838970	813640
SPO2716	SPO2716				144401	126906	138739
SPO2717	SPO2717				1.44E+06	1.46E+06	1.57E+06
SPO2718	SPO2718				151687	154739	162456
SPO2719	SPO2719				374210	395920	368082
